N,m
7.288861329343067155e+02,9.735379037631051169e-01
7.317496640343575791e+02,9.703089389453685154e-01
7.329469383451057638e+02,1.002448724786307865e+00
7.321127546262330270e+02,9.892008920739706612e-01
7.299783219447119791e+02,9.856108163670975753e-01
7.360075681343387259e+02,9.666900044660556857e-01
7.360075681343387259e+02,9.666900044660556857e-01
7.342373693286484695e+02,9.872079888440936646e-01
7.367243297534464546e+02,9.962191116015767234e-01
7.386775018811605378e+02,9.985591845855816828e-01
7.353323409630910419e+02,9.882703033785918967e-01
7.306988203123287349e+02,9.686327902168732074e-01
7.237406833887548601e+02,9.655320991549993792e-01
7.212045234160251539e+02,9.584852929178592218e-01
7.343596694886016394e+02,1.011024407676385684e+00
7.321753584787553564e+02,9.833437460083784831e-01
7.321753584787553564e+02,9.833437460083784831e-01
7.219752786823262340e+02,9.623659064446412614e-01
7.310411352483172323e+02,9.845204237577345197e-01
7.306527557065561496e+02,9.959890041162753338e-01
7.313782941449316013e+02,9.801299529218829854e-01
7.242176215908191352e+02,9.755914294726449887e-01
7.242176215908191352e+02,9.755914294726449887e-01
7.229853631661982263e+02,9.569888160302262303e-01
7.235452147068879185e+02,9.786369144995560321e-01
7.125059236115594103e+02,9.451379325732445214e-01
7.089235228587817801e+02,9.366740545095041393e-01
7.096947105846535351e+02,9.331209899305789035e-01
7.111575464346335593e+02,9.616676800168141304e-01
7.194698129391889552e+02,9.449605361046629071e-01
7.251616747010967856e+02,9.821452166903876790e-01
7.192020692017863439e+02,9.698741033070212847e-01
7.292466308476696213e+02,9.782034140198837546e-01
7.302166462339374675e+02,9.643757074567095300e-01
7.242130659811186888e+02,9.459277119922894217e-01
7.197448312529744499e+02,9.581219016631106200e-01
7.294996482334336179e+02,9.708047782270308179e-01
7.341947934297070333e+02,9.876010396248048329e-01
7.368510006071489897e+02,9.784997238823971433e-01
7.368510006071489897e+02,9.784997238823971433e-01
7.346980716152877449e+02,9.705322276280321514e-01
7.376425258587070175e+02,9.840631461075559638e-01
7.379169097434457854e+02,1.002365555561766097e+00
7.359872247381681518e+02,9.734834657569473304e-01
7.434862472992588209e+02,9.876064849992074457e-01
7.434862472992588209e+02,9.876064849992074457e-01
7.434862472992588209e+02,9.876064849992074457e-01
7.434862472992588209e+02,9.876064849992074457e-01
7.417756297166373542e+02,9.785634377296628106e-01
7.538801473404635090e+02,9.876038176246408895e-01
7.560278164331767812e+02,9.959532441178362561e-01
7.557053966576688708e+02,1.003879343276785630e+00
7.557053966576688708e+02,1.003879343276785630e+00
7.509162483876012857e+02,9.864362421416233984e-01
7.611199810668102828e+02,9.976148785541939512e-01
7.605843281077268330e+02,1.025687924967915166e+00
7.676882634274278416e+02,1.023002226791812852e+00
7.697683598072334235e+02,1.029000530009325676e+00
7.643395993994050741e+02,1.015189150021391651e+00
7.573550049838789846e+02,9.874486078209615547e-01
7.522118146207274094e+02,1.033719996402271857e+00
7.522118146207274094e+02,1.033719996402271857e+00
7.490697312016142178e+02,1.007839011435130105e+00
7.450245450709368242e+02,9.969677999425989867e-01
7.450245450709368242e+02,9.969677999425989867e-01
7.442140260780040535e+02,9.882442564121362016e-01
7.440064926734704613e+02,1.001658599094030100e+00
7.474386806820035645e+02,1.008375036380506851e+00
7.411405345806321066e+02,1.008710780243392779e+00
7.461008530390938631e+02,1.009376741606313965e+00
7.605991179894078869e+02,1.015988844451173989e+00
7.584841919325024264e+02,9.996962640895913355e-01
7.564876387753087101e+02,1.018053288472978712e+00
7.599938141365132651e+02,1.051944107862267108e+00
7.585378740703976064e+02,9.990288201355940201e-01
7.520281995475302210e+02,1.039077822539898444e+00
7.482753907924460464e+02,9.741120391740863971e-01
7.466675072390781907e+02,9.943979377291840560e-01
7.466675072390781907e+02,9.943979377291840560e-01
7.480489193886037356e+02,9.980679513402299641e-01
7.511789131982254730e+02,9.839254799635658300e-01
7.565704430982065105e+02,1.029891631717717138e+00
7.428874518474613069e+02,9.956153884746882232e-01
7.401454298177570763e+02,9.942884578464497025e-01
7.385626857068170921e+02,9.860333689590939921e-01
7.385626857068170921e+02,9.860333689590939921e-01
7.385626857068170921e+02,9.860333689590939921e-01
7.385626857068170921e+02,9.860333689590939921e-01
7.352855389783467217e+02,9.826983144445347040e-01
7.352855389783467217e+02,9.826983144445347040e-01
7.352855389783467217e+02,9.826983144445347040e-01
7.411337099713970247e+02,9.888139919413638790e-01
7.411807624419715239e+02,9.848619135411057490e-01
7.420849158633620846e+02,9.946119505672430527e-01
7.401350870004022227e+02,1.018273398510084915e+00
7.378645419975422328e+02,9.603788646950980334e-01
7.395122877495693956e+02,9.961101843443820325e-01
7.495284693214582603e+02,9.974649025800607083e-01
7.547406968633529232e+02,1.022408023375947161e+00
7.544419489766423794e+02,1.021796493667616268e+00
7.610460355692615622e+02,1.008967728651791740e+00
7.642061961525289462e+02,1.010072600284217526e+00
7.642061961525289462e+02,1.010072600284217526e+00
7.642061961525289462e+02,1.010072600284217526e+00
7.642061961525289462e+02,1.010072600284217526e+00
7.636040274187173509e+02,1.014697475526056492e+00
7.636040274187173509e+02,1.014697475526056492e+00
7.661046050816916022e+02,1.006818072778541184e+00
7.712902129411343140e+02,1.012153266207868052e+00
7.725638092171673179e+02,1.021025639071279967e+00
7.633068498192693596e+02,1.038585415744138540e+00
7.773388081448106277e+02,1.021259862806734642e+00
7.773388081448106277e+02,1.021259862806734642e+00
7.734430034545179069e+02,1.001318096109591327e+00
7.629305155361131483e+02,9.940271481116784713e-01
7.578521830064235019e+02,1.024913129020471381e+00
7.578499541271670523e+02,9.986436091453763098e-01
7.517323624116597784e+02,9.942533621093250229e-01
7.473568327702994338e+02,1.008747898376980867e+00
7.473568327702994338e+02,1.008747898376980867e+00
7.439865252260563011e+02,9.907947396785078409e-01
7.359794830099812089e+02,9.739450681862299453e-01
7.301405253278222744e+02,9.742896093165653859e-01
7.273935104075188747e+02,9.596189037267991440e-01
7.249435468385129298e+02,1.002723800059382775e+00
7.296236467175300504e+02,9.827915383471995669e-01
7.307828751187610123e+02,9.665545445363803445e-01
7.424815158133209252e+02,9.944369434475601732e-01
7.455673552185485278e+02,9.904477480456089777e-01
7.483164781436995554e+02,1.006462124788009449e+00
7.391148720298322132e+02,9.986534927988056642e-01
7.391148720298322132e+02,9.986534927988056642e-01
7.364081268670172449e+02,9.985083126911127316e-01
7.342890126296787230e+02,9.967322447324346024e-01
7.419180756620550028e+02,9.885750335165327529e-01
7.410555024515080049e+02,9.827997153245465745e-01
7.410555024515080049e+02,9.827997153245465745e-01
7.386319690155447688e+02,9.788799629367028743e-01
7.386319690155447688e+02,9.788799629367028743e-01
7.386319690155447688e+02,9.788799629367028743e-01
7.408284381037994990e+02,9.849482667117850365e-01
7.486566818610024256e+02,9.948582654680289128e-01
7.481958702942794162e+02,9.817144022003573278e-01
